"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","A8","0","Materiale di riporto.","Riporto","1","Geodaunia","20",528422.0954,4566517.496,605
"2","A8","0.05","Materiale di riporto.","Riporto","1","Geodaunia","20",528422.0954,4566517.496,605
"3","A8","0.1","Materiale di riporto.","Riporto","1","Geodaunia","20",528422.0954,4566517.496,605
"4","A8","0.15","Materiale di riporto.","Riporto","1","Geodaunia","20",528422.0954,4566517.496,605
"5","A8","0.2","Materiale di riporto.","Riporto","1","Geodaunia","20",528422.0954,4566517.496,605
"6","A8","0.25","Materiale di riporto.","Riporto","1","Geodaunia","20",528422.0954,4566517.496,605
"7","A8","0.3","Materiale di riporto.","Riporto","1","Geodaunia","20",528422.0954,4566517.496,605
"8","A8","0.35","Materiale di riporto.","Riporto","1","Geodaunia","20",528422.0954,4566517.496,605
"9","A8","0.4","Materiale di riporto.","Riporto","1","Geodaunia","20",528422.0954,4566517.496,605
"10","A8","0.45","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"11","A8","0.5","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"12","A8","0.55","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"13","A8","0.6","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"14","A8","0.65","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"15","A8","0.7","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"16","A8","0.75","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"17","A8","0.8","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"18","A8","0.85","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"19","A8","0.9","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"20","A8","0.95","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"21","A8","1","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"22","A8","1.05","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"23","A8","1.1","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"24","A8","1.15","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"25","A8","1.2","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"26","A8","1.25","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"27","A8","1.3","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"28","A8","1.35","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"29","A8","1.4","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"30","A8","1.45","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"31","A8","1.5","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"32","A8","1.55","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"33","A8","1.6","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"34","A8","1.65","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"35","A8","1.7","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"36","A8","1.75","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"37","A8","1.8","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"38","A8","1.85","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"39","A8","1.9","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"40","A8","1.95","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"41","A8","2","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"42","A8","2.05","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"43","A8","2.1","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"44","A8","2.15","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"45","A8","2.2","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"46","A8","2.25","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"47","A8","2.3","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"48","A8","2.35","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"49","A8","2.4","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"50","A8","2.45","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"51","A8","2.5","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"52","A8","2.55","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"53","A8","2.6","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"54","A8","2.65","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"55","A8","2.7","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"56","A8","2.75","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"57","A8","2.8","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
"58","A8","2.85","Sabbia giallastra, molto fina, addensata.","3","1","Geodaunia","20",528422.0954,4566517.496,605
