"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","C3","0","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"2","C3","0.05","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"3","C3","0.1","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"4","C3","0.15","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"5","C3","0.2","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"6","C3","0.25","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"7","C3","0.3","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"8","C3","0.35","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"9","C3","0.4","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"10","C3","0.45","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"11","C3","0.5","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"12","C3","0.55","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"13","C3","0.6","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"14","C3","0.65","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"15","C3","0.7","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"16","C3","0.75","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"17","C3","0.8","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"18","C3","0.85","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"19","C3","0.9","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"20","C3","0.95","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"21","C3","1","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"22","C3","1.05","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"23","C3","1.1","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"24","C3","1.15","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"25","C3","1.2","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"26","C3","1.25","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"27","C3","1.3","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"28","C3","1.35","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"29","C3","1.4","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"30","C3","1.45","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"31","C3","1.5","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"32","C3","1.55","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"33","C3","1.6","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"34","C3","1.65","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"35","C3","1.7","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"36","C3","1.75","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"37","C3","1.8","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"38","C3","1.85","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"39","C3","1.9","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"40","C3","1.95","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"41","C3","2","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"42","C3","2.05","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"43","C3","2.1","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"44","C3","2.15","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"45","C3","2.2","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"46","C3","2.25","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"47","C3","2.3","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"48","C3","2.35","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"49","C3","2.4","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"50","C3","2.45","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"51","C3","2.5","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"52","C3","2.55","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"53","C3","2.6","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"54","C3","2.65","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"55","C3","2.7","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"56","C3","2.75","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"57","C3","2.8","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"58","C3","2.85","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"59","C3","2.9","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"60","C3","2.95","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
"61","C3","3","Suolo vegetale limoso sabbioso con ciottoli arenacei poco arrotondati. Umido.","T","1","Coppolella","70.000",528369.94,4565930.15,548.1
