"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","C3P","0","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"2","C3P","0.05","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"3","C3P","0.1","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"4","C3P","0.15","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"5","C3P","0.2","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"6","C3P","0.25","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"7","C3P","0.3","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"8","C3P","0.35","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"9","C3P","0.4","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"10","C3P","0.45","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"11","C3P","0.5","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"12","C3P","0.55","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"13","C3P","0.6","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"14","C3P","0.65","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"15","C3P","0.7","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"16","C3P","0.75","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"17","C3P","0.8","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"18","C3P","0.85","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"19","C3P","0.9","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"20","C3P","0.95","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"21","C3P","1","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"22","C3P","1.05","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"23","C3P","1.1","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"24","C3P","1.15","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"25","C3P","1.2","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"26","C3P","1.25","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"27","C3P","1.3","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"28","C3P","1.35","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"29","C3P","1.4","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"30","C3P","1.45","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"31","C3P","1.5","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"32","C3P","1.55","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"33","C3P","1.6","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"34","C3P","1.65","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"35","C3P","1.7","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"36","C3P","1.75","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"37","C3P","1.8","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"38","C3P","1.85","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"39","C3P","1.9","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"40","C3P","1.95","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"41","C3P","2","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"42","C3P","2.05","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"43","C3P","2.1","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"44","C3P","2.15","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"45","C3P","2.2","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"46","C3P","2.25","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"47","C3P","2.3","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"48","C3P","2.35","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"49","C3P","2.4","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"50","C3P","2.45","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"51","C3P","2.5","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"52","C3P","2.55","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
"53","C3P","2.6","Materiale di riporto.","Riporto","1","Coppolella","70.000",528347.132,4566003.32,565.19
