"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","FI10","0","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"2","FI10","0.05","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"3","FI10","0.1","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"4","FI10","0.15","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"5","FI10","0.2","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"6","FI10","0.25","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"7","FI10","0.3","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"8","FI10","0.35","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"9","FI10","0.4","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"10","FI10","0.45","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"11","FI10","0.5","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"12","FI10","0.55","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"13","FI10","0.6","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"14","FI10","0.65","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"15","FI10","0.7","Materiale di riporto.","Riporto","1","Geoconsul","26",528500.3205,4566295.053,564
"16","FI10","0.75","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"17","FI10","0.8","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"18","FI10","0.85","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"19","FI10","0.9","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"20","FI10","0.95","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"21","FI10","1","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"22","FI10","1.05","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"23","FI10","1.1","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"24","FI10","1.15","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"25","FI10","1.2","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"26","FI10","1.25","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"27","FI10","1.3","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"28","FI10","1.35","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"29","FI10","1.4","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"30","FI10","1.45","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"31","FI10","1.5","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"32","FI10","1.55","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"33","FI10","1.6","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"34","FI10","1.65","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"35","FI10","1.7","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"36","FI10","1.75","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"37","FI10","1.8","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"38","FI10","1.85","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"39","FI10","1.9","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"40","FI10","1.95","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"41","FI10","2","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
"42","FI10","2.05","Limo sabbioso argilloso verdastro e avana verdastro, sono presenti zone rossicce.","3","1","Geoconsul","26",528500.3205,4566295.053,564
