"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","FP9","0","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"2","FP9","0.05","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"3","FP9","0.1","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"4","FP9","0.15","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"5","FP9","0.2","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"6","FP9","0.25","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"7","FP9","0.3","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"8","FP9","0.35","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"9","FP9","0.4","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"10","FP9","0.45","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"11","FP9","0.5","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"12","FP9","0.55","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"13","FP9","0.6","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"14","FP9","0.65","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"15","FP9","0.7","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"16","FP9","0.75","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"17","FP9","0.8","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"18","FP9","0.85","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"19","FP9","0.9","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"20","FP9","0.95","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"21","FP9","1","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"22","FP9","1.05","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"23","FP9","1.1","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"24","FP9","1.15","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"25","FP9","1.2","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"26","FP9","1.25","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"27","FP9","1.3","Limo sabbioso avana con elementi di riporto.","Riporto","1","Geoconsul","25",528493.3082,4566277.924,557
"28","FP9","1.35","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"29","FP9","1.4","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"30","FP9","1.45","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"31","FP9","1.5","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"32","FP9","1.55","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"33","FP9","1.6","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"34","FP9","1.65","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"35","FP9","1.7","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"36","FP9","1.75","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"37","FP9","1.8","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"38","FP9","1.85","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"39","FP9","1.9","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"40","FP9","1.95","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"41","FP9","2","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"42","FP9","2.05","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"43","FP9","2.1","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"44","FP9","2.15","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"45","FP9","2.2","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"46","FP9","2.25","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"47","FP9","2.3","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
"48","FP9","2.35","Limo sabbioso a luoghi argilloso di colore avana con zone rossicce. Sono presenti inclusi sparsi (max 20 cm).","4","1","Geoconsul","25",528493.3082,4566277.924,557
