"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","L1","0","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"2","L1","0.05","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"3","L1","0.1","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"4","L1","0.15","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"5","L1","0.2","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"6","L1","0.25","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"7","L1","0.3","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"8","L1","0.35","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"9","L1","0.4","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"10","L1","0.45","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"11","L1","0.5","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"12","L1","0.55","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"13","L1","0.6","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"14","L1","0.65","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"15","L1","0.7","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"16","L1","0.75","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"17","L1","0.8","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"18","L1","0.85","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"19","L1","0.9","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"20","L1","0.95","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"21","L1","1","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"22","L1","1.05","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"23","L1","1.1","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"24","L1","1.15","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"25","L1","1.2","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"26","L1","1.25","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"27","L1","1.3","Terreno.","T","1","Troncone","26.000",528607.987,4566542.658,601
"28","L1","1.35","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"29","L1","1.4","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"30","L1","1.45","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"31","L1","1.5","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"32","L1","1.55","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"33","L1","1.6","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"34","L1","1.65","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"35","L1","1.7","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"36","L1","1.75","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"37","L1","1.8","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"38","L1","1.85","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"39","L1","1.9","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"40","L1","1.95","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"41","L1","2","Ciottoli.","4","1","Troncone","26.000",528607.987,4566542.658,601
"42","L1","2.05","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"43","L1","2.1","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"44","L1","2.15","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"45","L1","2.2","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"46","L1","2.25","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"47","L1","2.3","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"48","L1","2.35","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"49","L1","2.4","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"50","L1","2.45","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"51","L1","2.5","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"52","L1","2.55","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"53","L1","2.6","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"54","L1","2.65","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"55","L1","2.7","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"56","L1","2.75","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"57","L1","2.8","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"58","L1","2.85","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"59","L1","2.9","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"60","L1","2.95","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"61","L1","3","Sabbia fine giallastra a luoghi argillosi.","4","1","Troncone","26.000",528607.987,4566542.658,601
"62","L1","3.05","Argilla a luoghi limosa e sabbiosa giallastra talora plastica; presenza di calcinelli o lapidei.","4","1","Troncone","26.000",528607.987,4566542.658,601
"63","L1","3.1","Argilla a luoghi limosa e sabbiosa giallastra talora plastica; presenza di calcinelli o lapidei.","4","1","Troncone","26.000",528607.987,4566542.658,601
"64","L1","3.15","Argilla a luoghi limosa e sabbiosa giallastra talora plastica; presenza di calcinelli o lapidei.","4","1","Troncone","26.000",528607.987,4566542.658,601
"65","L1","3.2","Argilla a luoghi limosa e sabbiosa giallastra talora plastica; presenza di calcinelli o lapidei.","4","1","Troncone","26.000",528607.987,4566542.658,601
"66","L1","3.25","Argilla a luoghi limosa e sabbiosa giallastra talora plastica; presenza di calcinelli o lapidei.","4","1","Troncone","26.000",528607.987,4566542.658,601
