"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","N3","0","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"2","N3","0.05","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"3","N3","0.1","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"4","N3","0.15","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"5","N3","0.2","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"6","N3","0.25","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"7","N3","0.3","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"8","N3","0.35","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"9","N3","0.4","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"10","N3","0.45","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"11","N3","0.5","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"12","N3","0.55","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"13","N3","0.6","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"14","N3","0.65","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"15","N3","0.7","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"16","N3","0.75","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"17","N3","0.8","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"18","N3","0.85","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"19","N3","0.9","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"20","N3","0.95","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"21","N3","1","Terreno.","T","1","Troncone","11.000",528515.789,4566369.95,583
"22","N3","1.05","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"23","N3","1.1","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"24","N3","1.15","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"25","N3","1.2","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"26","N3","1.25","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"27","N3","1.3","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"28","N3","1.35","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"29","N3","1.4","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"30","N3","1.45","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"31","N3","1.5","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"32","N3","1.55","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"33","N3","1.6","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"34","N3","1.65","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"35","N3","1.7","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"36","N3","1.75","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"37","N3","1.8","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"38","N3","1.85","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"39","N3","1.9","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"40","N3","1.95","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"41","N3","2","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"42","N3","2.05","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"43","N3","2.1","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"44","N3","2.15","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"45","N3","2.2","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"46","N3","2.25","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
"47","N3","2.3","Detrito argilloso con ciottoli.","T","1","Troncone","11.000",528515.789,4566369.95,583
