"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","P3","0","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"2","P3","0.05","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"3","P3","0.1","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"4","P3","0.15","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"5","P3","0.2","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"6","P3","0.25","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"7","P3","0.3","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"8","P3","0.35","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"9","P3","0.4","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"10","P3","0.45","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"11","P3","0.5","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"12","P3","0.55","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"13","P3","0.6","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"14","P3","0.65","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"15","P3","0.7","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"16","P3","0.75","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"17","P3","0.8","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"18","P3","0.85","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"19","P3","0.9","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"20","P3","0.95","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"21","P3","1","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"22","P3","1.05","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"23","P3","1.1","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"24","P3","1.15","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"25","P3","1.2","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"26","P3","1.25","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"27","P3","1.3","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"28","P3","1.35","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"29","P3","1.4","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"30","P3","1.45","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"31","P3","1.5","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"32","P3","1.55","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"33","P3","1.6","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"34","P3","1.65","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"35","P3","1.7","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"36","P3","1.75","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"37","P3","1.8","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"38","P3","1.85","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"39","P3","1.9","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"40","P3","1.95","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
"41","P3","2","Terreno.","Riporto","1","Troncone","24.000",528482.154,4566312.979,563
