"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","SC2","0","Materiale di riporto.","Riporto","1","PST","50",528498.9823,4566224.631,555
"2","SC2","0.05","Materiale di riporto.","Riporto","1","PST","50",528498.9823,4566224.631,555
"3","SC2","0.1","Materiale di riporto.","Riporto","1","PST","50",528498.9823,4566224.631,555
"4","SC2","0.15","Materiale di riporto.","Riporto","1","PST","50",528498.9823,4566224.631,555
"5","SC2","0.2","Materiale di riporto.","Riporto","1","PST","50",528498.9823,4566224.631,555
"6","SC2","0.25","Materiale di riporto.","Riporto","1","PST","50",528498.9823,4566224.631,555
"7","SC2","0.3","Materiale di riporto.","Riporto","1","PST","50",528498.9823,4566224.631,555
"8","SC2","0.35","Argilla grigio-verde chiaro, con chiazze carbonatiche (effervescenza all'HCl diluito al 2%) pulverulente biancastre e tracce di alterazione giallo-rossastre. Ghiaia fina carbonatica biancastra e rari frustoli carboniosi. Consistente e asciutta.","4","1","PST","50",528498.9823,4566224.631,555
"9","SC2","0.4","Argilla grigio-verde chiaro, con chiazze carbonatiche (effervescenza all'HCl diluito al 2%) pulverulente biancastre e tracce di alterazione giallo-rossastre. Ghiaia fina carbonatica biancastra e rari frustoli carboniosi. Consistente e asciutta.","4","1","PST","50",528498.9823,4566224.631,555
"10","SC2","0.45","Argilla grigio-verde chiaro, con chiazze carbonatiche (effervescenza all'HCl diluito al 2%) pulverulente biancastre e tracce di alterazione giallo-rossastre. Ghiaia fina carbonatica biancastra e rari frustoli carboniosi. Consistente e asciutta.","4","1","PST","50",528498.9823,4566224.631,555
"11","SC2","0.5","Argilla grigio-verde chiaro, con chiazze carbonatiche (effervescenza all'HCl diluito al 2%) pulverulente biancastre e tracce di alterazione giallo-rossastre. Ghiaia fina carbonatica biancastra e rari frustoli carboniosi. Consistente e asciutta.","4","1","PST","50",528498.9823,4566224.631,555
"12","SC2","0.55","Argilla grigio-verde chiaro, con chiazze carbonatiche (effervescenza all'HCl diluito al 2%) pulverulente biancastre e tracce di alterazione giallo-rossastre. Ghiaia fina carbonatica biancastra e rari frustoli carboniosi. Consistente e asciutta.","4","1","PST","50",528498.9823,4566224.631,555
"13","SC2","0.6","Argilla grigio-verde chiaro, con chiazze carbonatiche (effervescenza all'HCl diluito al 2%) pulverulente biancastre e tracce di alterazione giallo-rossastre. Ghiaia fina carbonatica biancastra e rari frustoli carboniosi. Consistente e asciutta.","4","1","PST","50",528498.9823,4566224.631,555
