"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","SG3","0","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"2","SG3","0.05","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"3","SG3","0.1","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"4","SG3","0.15","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"5","SG3","0.2","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"6","SG3","0.25","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"7","SG3","0.3","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"8","SG3","0.35","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"9","SG3","0.4","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"10","SG3","0.45","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"11","SG3","0.5","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"12","SG3","0.55","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"13","SG3","0.6","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"14","SG3","0.65","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"15","SG3","0.7","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"16","SG3","0.75","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"17","SG3","0.8","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"18","SG3","0.85","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"19","SG3","0.9","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"20","SG3","0.95","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"21","SG3","1","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"22","SG3","1.05","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"23","SG3","1.1","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"24","SG3","1.15","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"25","SG3","1.2","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"26","SG3","1.25","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"27","SG3","1.3","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"28","SG3","1.35","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"29","SG3","1.4","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"30","SG3","1.45","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"31","SG3","1.5","Riporto antropico costituito da ciottoli di diametro 2-5cm in matrice sabbiosa grigio-chiara.","Riporto","1","Geoing",NA,528544.5265,4566425.212,589.86
"32","SG3","1.55","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"33","SG3","1.6","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"34","SG3","1.65","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"35","SG3","1.7","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"36","SG3","1.75","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"37","SG3","1.8","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"38","SG3","1.85","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"39","SG3","1.9","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"40","SG3","1.95","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"41","SG3","2","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"42","SG3","2.05","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"43","SG3","2.1","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
"44","SG3","2.15","Detrito in abbondante matrice argillosa in abbondante matrice argillosa marnosa giallastra con tracce di ossidazione rossastra (diametro 2-3cm)","3","1","Geoing",NA,528544.5265,4566425.212,589.86
