"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","SP3","0","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"2","SP3","0.05","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"3","SP3","0.1","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"4","SP3","0.15","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"5","SP3","0.2","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"6","SP3","0.25","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"7","SP3","0.3","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"8","SP3","0.35","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"9","SP3","0.4","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"10","SP3","0.45","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"11","SP3","0.5","Terreno.","T","1","Geo-invest","10",528235.3288,4566119.889,580
"12","SP3","0.55","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"13","SP3","0.6","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"14","SP3","0.65","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"15","SP3","0.7","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"16","SP3","0.75","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"17","SP3","0.8","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"18","SP3","0.85","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"19","SP3","0.9","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"20","SP3","0.95","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"21","SP3","1","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"22","SP3","1.05","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"23","SP3","1.1","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"24","SP3","1.15","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"25","SP3","1.2","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"26","SP3","1.25","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"27","SP3","1.3","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"28","SP3","1.35","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"29","SP3","1.4","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"30","SP3","1.45","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"31","SP3","1.5","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"32","SP3","1.55","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"33","SP3","1.6","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"34","SP3","1.65","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"35","SP3","1.7","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"36","SP3","1.75","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"37","SP3","1.8","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"38","SP3","1.85","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"39","SP3","1.9","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"40","SP3","1.95","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"41","SP3","2","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"42","SP3","2.05","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"43","SP3","2.1","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"44","SP3","2.15","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"45","SP3","2.2","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"46","SP3","2.25","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"47","SP3","2.3","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"48","SP3","2.35","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"49","SP3","2.4","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"50","SP3","2.45","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"51","SP3","2.5","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"52","SP3","2.55","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"53","SP3","2.6","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"54","SP3","2.65","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"55","SP3","2.7","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"56","SP3","2.75","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"57","SP3","2.8","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"58","SP3","2.85","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"59","SP3","2.9","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
"60","SP3","2.95","Argilla giallastra.","3","1","Geo-invest","10",528235.3288,4566119.889,580
