"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","T27","0","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"2","T27","0.05","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"3","T27","0.1","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"4","T27","0.15","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"5","T27","0.2","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"6","T27","0.25","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"7","T27","0.3","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"8","T27","0.35","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"9","T27","0.4","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"10","T27","0.45","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"11","T27","0.5","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"12","T27","0.55","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"13","T27","0.6","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"14","T27","0.65","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"15","T27","0.7","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"16","T27","0.75","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"17","T27","0.8","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"18","T27","0.85","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"19","T27","0.9","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"20","T27","0.95","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"21","T27","1","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"22","T27","1.05","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"23","T27","1.1","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"24","T27","1.15","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"25","T27","1.2","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"26","T27","1.25","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"27","T27","1.3","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"28","T27","1.35","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"29","T27","1.4","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
"30","T27","1.45","Limo argilloso avana.","4","1","Botticelli","29",528495.294,4566087.032,555
