"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","U6","0","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"2","U6","0.05","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"3","U6","0.1","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"4","U6","0.15","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"5","U6","0.2","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"6","U6","0.25","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"7","U6","0.3","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"8","U6","0.35","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"9","U6","0.4","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"10","U6","0.45","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"11","U6","0.5","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"12","U6","0.55","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"13","U6","0.6","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"14","U6","0.65","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"15","U6","0.7","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"16","U6","0.75","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"17","U6","0.8","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"18","U6","0.85","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"19","U6","0.9","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"20","U6","0.95","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"21","U6","1","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"22","U6","1.05","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"23","U6","1.1","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"24","U6","1.15","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"25","U6","1.2","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"26","U6","1.25","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"27","U6","1.3","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"28","U6","1.35","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"29","U6","1.4","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"30","U6","1.45","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"31","U6","1.5","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"32","U6","1.55","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"33","U6","1.6","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"34","U6","1.65","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"35","U6","1.7","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"36","U6","1.75","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"37","U6","1.8","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"38","U6","1.85","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"39","U6","1.9","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"40","U6","1.95","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"41","U6","2","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"42","U6","2.05","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"43","U6","2.1","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"44","U6","2.15","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"45","U6","2.2","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"46","U6","2.25","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"47","U6","2.3","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"48","U6","2.35","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"49","U6","2.4","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"50","U6","2.45","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"51","U6","2.5","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"52","U6","2.55","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"53","U6","2.6","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"54","U6","2.65","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"55","U6","2.7","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"56","U6","2.75","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"57","U6","2.8","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"58","U6","2.85","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"59","U6","2.9","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"60","U6","2.95","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"61","U6","3","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"62","U6","3.05","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"63","U6","3.1","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"64","U6","3.15","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"65","U6","3.2","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"66","U6","3.25","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
"67","U6","3.3","Terreno di riporto.","T","1","Rampino","25",528344.6797,4565885.677,545
