"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","V2","0","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"2","V2","0.05","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"3","V2","0.1","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"4","V2","0.15","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"5","V2","0.2","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"6","V2","0.25","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"7","V2","0.3","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"8","V2","0.35","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"9","V2","0.4","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"10","V2","0.45","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"11","V2","0.5","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"12","V2","0.55","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"13","V2","0.6","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"14","V2","0.65","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"15","V2","0.7","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"16","V2","0.75","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"17","V2","0.8","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"18","V2","0.85","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"19","V2","0.9","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"20","V2","0.95","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"21","V2","1","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"22","V2","1.05","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"23","V2","1.1","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"24","V2","1.15","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"25","V2","1.2","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"26","V2","1.25","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"27","V2","1.3","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"28","V2","1.35","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"29","V2","1.4","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"30","V2","1.45","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"31","V2","1.5","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"32","V2","1.55","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"33","V2","1.6","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"34","V2","1.65","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"35","V2","1.7","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"36","V2","1.75","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"37","V2","1.8","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"38","V2","1.85","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"39","V2","1.9","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"40","V2","1.95","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"41","V2","2","Terreno di riporto e terreno argilloso rimaneggiato.","T","1","Giordano","15",528441.1842,4566461.851,597
"42","V2","2.05","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"43","V2","2.1","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"44","V2","2.15","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"45","V2","2.2","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"46","V2","2.25","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"47","V2","2.3","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"48","V2","2.35","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"49","V2","2.4","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"50","V2","2.45","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"51","V2","2.5","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"52","V2","2.55","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"53","V2","2.6","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"54","V2","2.65","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
"55","V2","2.7","Argilla sabbiosa con livelli arenacei di colore giallo ocra.","3","1","Giordano","15",528441.1842,4566461.851,597
