embedding,configuration,uq_method,space,num_folds,accuracy,kappa,error_auroc_confidence_complement,error_auroc_total_uncertainty,error_auroc_epistemic,error_auprc_confidence_complement,error_auprc_total_uncertainty,error_auprc_epistemic,error_auprc_total_uncertainty_lift,error_auprc_epistemic_lift,aurc,ece,source
minilm-en,Depth only,Deep Ensemble,classification_head,95.0,0.5163043478260869,0.3540465850126335,0.5610076877587227,0.6392631043012572,0.5288093154510589,0.5270090898969942,0.6705311997792635,0.5660773424889817,1.3862667501054435,1.1703172024491306,0.3937137621045784,0.3455925678591365,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage3_minilm_ablation\depth_only\deep_ensemble\fold_metrics.csv
minilm-en,Depth only,LLLA,classification_head,95.0,0.5146739130434783,0.3513175097504636,0.5733257969115649,0.6504062403938445,0.4607516412534004,0.5408628001437218,0.6780557551874085,0.5326171257222204,1.3971137620882774,1.0974417820032314,0.383720134665136,0.3412584779217191,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage3_minilm_ablation\depth_only\laplace\fold_metrics.csv
minilm-en,Depth only,MC dropout,classification_head,95.0,0.5125,0.3490673974260587,0.5679010156395006,0.6261894245496883,0.5247967235928959,0.5535449374980213,0.6725724990198862,0.5980208161942924,1.3796358954254075,1.2267093665523945,0.4029690273090828,0.3297949136923189,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage3_minilm_ablation\depth_only\mc_dropout\fold_metrics.csv
minilm-en,Depth only,Subsample Ensemble,classification_head,95.0,0.508695652173913,0.3440164336508669,0.575058146131155,0.6249605700340172,0.5971446918485864,0.5443968150866558,0.6674532973959036,0.5990864494403898,1.3585332601863525,1.2193794988609703,0.4051418822825939,0.3391387190183867,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage3_minilm_ablation\depth_only\subsample_ensemble\fold_metrics.csv
minilm-en,Depth only,TabICLv2: encoder input,encoder_input,,0.5195652173913043,0.3184431326407814,0.5555742251841194,0.5667645638879949,0.4594404948976694,0.5195965521404312,0.5327386847978559,0.4530792465366003,1.1088678507104692,0.9430608751440549,0.4754212789840991,0.0873975626306027,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage3_minilm_ablation\depth_only\tabicl\summary.csv
minilm-en,Depth only,TabICLv2: hidden,hidden,,0.5070652173913044,0.3097309701190046,0.5754114420294223,0.5737794999237796,0.4599016107894889,0.5542939797797806,0.5467324818527958,0.4665812136133269,1.1091375596572706,0.946537412401898,0.4794402985678352,0.0774780502234822,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage3_minilm_ablation\depth_only\tabicl\summary.csv
minilm-en,Depth only,TabICLv2: model input,model_input,,0.5217391304347826,0.3213189348328699,0.5490518465909091,0.5602580492424243,0.4960049715909091,0.5193634224372953,0.5242048823006189,0.4843382543089717,1.096064753901294,1.0127072590096682,0.4827259613533083,0.0834322967372395,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage3_minilm_ablation\depth_only\tabicl\summary.csv
bge-base,Embeddings + XYZ + depth: PCA 16,Deep Ensemble,classification_head,95.0,0.7673913043478261,0.6212057693483697,0.7819143655185196,0.7868347972805987,0.7299423546037137,0.49709945307358805,0.5865556848826544,0.5315772721495214,2.5216412621123463,2.2852854690540174,0.1288332418598514,0.1904998672883147,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\bge-base\full_pca016\deep_ensemble\fold_metrics.csv
bge-base,Embeddings + XYZ + depth: PCA 16,LLLA,classification_head,95.0,0.7635869565217391,0.6144287508480344,0.7816386468687364,0.7524787533460512,0.6020990358115235,0.495251110100183,0.5393522128378165,0.4246902521233637,2.281397865796741,1.79639095151032,0.1319988421167909,0.2022633895925853,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\bge-base\full_pca016\laplace\fold_metrics.csv
bge-base,Embeddings + XYZ + depth: PCA 16,MC dropout,classification_head,95.0,0.7630434782608696,0.6126722159913155,0.7821362293839358,0.7819640321005491,0.7583917855792954,0.5012695172846395,0.5832047788789458,0.5569053547327891,2.461231176920322,2.350242781441129,0.1281569815199686,0.2007656107292227,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\bge-base\full_pca016\mc_dropout\fold_metrics.csv
