embedding,configuration,uq_method,space,num_folds,accuracy,kappa,error_auroc_confidence_complement,error_auroc_total_uncertainty,error_auroc_epistemic,error_auprc_confidence_complement,error_auprc_total_uncertainty,error_auprc_epistemic,error_auprc_total_uncertainty_lift,error_auprc_epistemic_lift,aurc,ece,source
minilm-en,Depth only,Deep Ensemble,classification_head,11.0,0.4320652173913043,0.2518097568189199,0.5003039330745389,0.5657999275624046,0.6059783572135496,0.5804227329665297,0.6517414195219666,0.6570436224589703,1.1475638391582952,1.1568997754301487,0.5357754602549508,0.2393252414205799,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\depth_only\deep_ensemble\fold_metrics.csv
minilm-en,Depth only,LLLA,classification_head,11.0,0.4347826086956521,0.2537243826325639,0.6403972355769231,0.6957437814942887,0.5564857638187198,0.7007195435374587,0.7423086881286306,0.6334226972866549,1.3133153713045,1.120670925968697,0.4349272979865733,0.1912751164611266,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\depth_only\laplace\fold_metrics.csv
minilm-en,Depth only,MC dropout,classification_head,11.0,0.4304347826086956,0.2483400256061813,0.5177370074793739,0.5863723751568277,0.5571609520616535,0.589963486752216,0.6576790436709323,0.6286389680784338,1.1547036644604154,1.1037172721987767,0.5313736756434746,0.2186004722409922,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\depth_only\mc_dropout\fold_metrics.csv
minilm-en,Depth only,Subsample Ensemble,classification_head,11.0,0.4347826086956521,0.2539082099241097,0.5827061298076923,0.6342693429395179,0.6295148048834268,0.6105751445851432,0.6784764203273006,0.6739479707111325,1.2003813590406087,1.1923694866427728,0.4906818808727377,0.2171014064518006,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\depth_only\subsample_ensemble\fold_metrics.csv
minilm-en,Depth only,TabICLv2: encoder input,encoder_input,,0.4315217391304348,0.2293792359537604,0.49191474298153937,0.4700923754160024,0.5872991027351407,0.5868046998873697,0.5729792893605519,0.6829046755967196,1.0079176791810855,1.2012854714129677,0.654747482859755,0.159402992034342,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\depth_only\tabicl\summary.csv
minilm-en,Depth only,TabICLv2: hidden,hidden,,0.4277173913043478,0.2285361051330189,0.4973591517428875,0.4758003694894843,0.5740782975005762,0.5983681138942272,0.5763784733721141,0.6785354025192244,1.007157066481187,1.1856649008882933,0.6545514763774707,0.164965940956739,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\depth_only\tabicl\summary.csv
minilm-en,Depth only,TabICLv2: model input,model_input,,0.4315217391304348,0.2285962555270894,0.496415515987497,0.4760151422475449,0.5833883187000015,0.5985358005275498,0.5773239748817156,0.6622737883218663,1.0155603382240503,1.164994044466763,0.6511970852804565,0.1563524587417371,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\depth_only\tabicl\summary.csv
bge-base,Embeddings + XYZ + depth: PCA 16,Deep Ensemble,classification_head,11.0,0.6755434782608696,0.5435719863955346,0.685519983936847,0.6958065773911946,0.6367155340879898,0.5107767102572844,0.5448025005089019,0.4594715653868399,1.679123284650552,1.416126767691433,0.2209738946815554,0.1388102681902439,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-base\full_pca016\deep_ensemble\fold_metrics.csv
bge-base,Embeddings + XYZ + depth: PCA 16,LLLA,classification_head,11.0,0.6570652173913043,0.5177812444403079,0.6745329206859804,0.6703979440581245,0.6070745189501592,0.5005784267741457,0.53130790491316,0.4608485099905907,1.5492972187642067,1.3438371765177286,0.2422591402169418,0.1387316229712703,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-base\full_pca016\laplace\fold_metrics.csv
bge-base,Embeddings + XYZ + depth: PCA 16,MC dropout,classification_head,11.0,0.6570652173913043,0.5199250069250375,0.6899167495762761,0.6949060846082129,0.6675352112922599,0.5052277713237817,0.543884347692609,0.4984754123025269,1.585970205632964,1.4535574621816947,0.2288809868868137,0.1283345110228528,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-base\full_pca016\mc_dropout\fold_metrics.csv
